,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
40,Coal/ Hay Creek,Whitefish Range,Flathead Avalanche Center,Snowmobiling/Snowbiking,,,,,,,,"Mar 9, 2024","Mar 11, 2024",blase reardon for public,forecaster,"Good sized glide crack 6900ish north coal creek. 240 cm total snow and around 15 cm new snow.. Lots of wind loading; nothing recent moving. 
Saw a  couple D3 that went full path on Hay creek but they appeared to be several weeks old.",None Reported,,48.402214,-114.13365,,,,,
41,Rescue Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",28,0,Not Observed,Moderate Amounts,Moderate,,"Mar 8, 2024","Mar 8, 2024",,public,"Our skin track brought us around and over very large areas of avalanche debris that have affected the majority of the drainage. I am unsure on the exact timing of when these avalanches took place, but they appear to be relatively older.We experienced little wind but noticed significant snow transport on higher ridge lines, especially Nyack.",None Reported,None observed,48.402214,-114.13365,"Skinned up Rescue Creek drainage and up SE ridge to 6,600ft. With a number of noticeable crowns lingering around the drainage we were still weary of the faceted layers found in our pit and kept our skiing closer to our skin track and away from the rocky areas that become more prevalent as you go up the ridge to Penrose.",,,,
42,Spider Bowl,Swan Range,,Skiing/Snowboarding,,,,,,,,"Mar 8, 2024","Mar 8, 2024",Zachary Miller,public,"It was a gorgeous afternoon up in the Swan Range, with Spider Bowl offering up big views and preserved stable quality snow on sheltered aspects. We observed no obvious signs of instability during our brief tour and stuck mainly to W, NW, and N aspects when climbing/descending. Thank you to whoever set the lovely skintrack! Temperatures were right around freezing but a light SW breeze helped generally preserve the snow surface conditions above 5k', although the top 3-5cm began to thicken up on west aspects by ~3pm. We noted widespread surface hoar above 5k'.
We did see a couple of old small point-release wet-loose avalanches below exposed cliffs that either occurred earlier today or yesterday on south aspects. Below 5k', southerly slopes are melting out FAST.
Also worth noting - the road to Strawberry is rough due to some ambitious 4x4 romping - expect deep hooky ruts!",None Reported,,48.402214,-114.13365,,,,,
43,Rescue Creek,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",Not Observed,Not Observed,Not Observed,Moderate Amounts,Moderate,"Mostly sunny with some high cirrus moving overhead early afternoon, making for thin overcast at times. Winds calm in the basin, but we could see active snow loading on Nyack Mountain early afternoon. Didn't see the same on Mt. Penrose. 28* at the highway at 11:45. Warm but not hot in the sun in the basin.","Mar 8, 2024 (12:00 - 15:00)","Mar 8, 2024",blase reardon,forecaster,"We did a post-meeting trip into Rescue Creek to check for avalanche crowns and debris from the late February avalanche cycle. 

Debris from multiple large (D2.5) and very large natural avalanches (D3-3.5) covered most of the basin floor from about 4000 feet to well over 5500 feet. It wasn't wall-to-wall coverage, but it was a near-continuous carpet on the Nyack Mountain side. 
We estimate most of the slides released on Feb. 28 or 29, with one - the largest - possibly releasing late in the cycle, on March 1. 
The dry slab avalanches slides produced this debris mostly released on north- or east-facing slopes. There was one debris pile in a south-facing runout, though that may have released on an easterly part of the start zone.
We saw almost no rollerballs and definitely no wet loose avalanches on sunny slopes. 
Winds were actively blowing snow around on the upper reaches of Nyack Mountain. 

We enjoyed a snack in the sun and the magnificence and power of the place before threading  turns through the alder on the unaffected side of the drainage and out. 
*Note: the catalogue of avalanches listed here is likely incomplete. Dates and other values are best guesses, as we didn't inspect any crowns. Basically, there was 2-3 days of natural avalanche activity in this basin involving large- very large soft and hard slab avalanches from various elevations; it's hard to determine the character without knowing the exact time the avalanches ran.",None Reported,,48.402214,-114.13365,Up the drainage to about 4800 feet and return.,,,,
44,GNP - Stanton Mountain,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,0,Not Observed,Small Amounts,Previous,,"Mar 8, 2024","Mar 8, 2024",Adam Clark,public,"Partly to mostly sunny skies with light to moderate westerly winds made for an excellent day with exceptional views.Snowpack is very thin on southerly slopes below 4000'. Unable to ski down the lower reaches of the Howe Ridge trail.The debris from the previously reported (on Jan. 30th) very large avalanche in the west bowl terminated at about 4200' and crossed the hiking trail.Snowpack deepens quickly above 5000'. Found variable conditions with a thin, breakable surface crust on sunny aspects, but could still find nice turns in soft powder in sheltered terrain below 6500' on more shady slopes.The snowpack on the ridge above about 6500' is capped by a rime crust with a fresh crop of surface hoar growing on top.No obvious signs of instability, no shooting cracks, audible collapses, or any slab releases on test slopes.Noted one large D3 hard slab in the bowl to the north of Stanton Mtn. More details in the avy tab.A quick hand pit near the summit at 7730' on a southerly aspect had the Feb. 3rd crust (~15 cm thick) about 30 cm down with a layer of facets above. This was in a more wind scoured location.",Avalanches Observed,,48.402214,-114.13365,Up the SW ridge to the summit of Stanton Mtn. Down the same route,,,,
45,Dorothy Mt,Whitefish Range,,Skiing/Snowboarding,Clear (No clouds),upper 20's,0,Not Observed,Not Observed,Not Observed,Blue Skies and great views. Cold in the shade and even in the sun if the wind was persistent.,"Mar 7, 2024","Mar 7, 2024",,public,"The solar radiation certainly felt nice and our party did not notice any rollerballs or snow dropping from the trees, however, the snow did appear to be transitioning from cold and dry to warm and wet.",Avalanches Observed  Avalanches Triggered,No instabilites observed.,48.402214,-114.13365,Observed Mostly S-SE aspects up to 6800ft.,,,,
46,Northern Great Bear Wilderness,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,Clear (No clouds),Not Observed,Not Observed,Not Observed,Not Observed,Light,"Bluebird! Still cold though. 4000k was about where we saw the snow surface change, only in direct sun however.","Mar 7, 2024","Mar 7, 2024",guy zoellner,forecaster,"Day off tour in the Northern Middle Fork. -pit at 6600' on a N aspect was unreactive. Facets above the 2/3 crust are more faceted/less rounded than what I saw yesterday(3/6) in the Northern Whitefish Range. - there is a thin crust buried 35 cm down. This had the most potential with CT 24. -Plenty of wind loading below the ridge lines. We saw one old crown from a wind slab that had pulled out. It was above cliffs at approximately 7,000 on an East aspect. - No rollerball activity or any warming of the snow surface until around 4,000'.",None Reported,,48.402214,-114.13365,,,,,
47,Cascadilla Creek,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",28,0,3000,Moderate Amounts,Light,"Mostly clear and sunny. Temperatures in the shade remained cool, but the March sun was quite intense.","Mar 7, 2024 (9:30) - Mar 7, 2024 (14:30)","Mar 7, 2024",Mark Dundas,forecaster,"I visited Cascadilla Creek on a day off to take advantage of the clear weather and photograph large fracture lines on the northeast face of Nyack Mountain. 

Recent snow and wind are beginning to fill in the multiple crown lines, but these features remain noticeable.
I can not verify if the crown spanned the entire face from ridge to ridge. If not, two very large hard slab avalanches cover most of this face's 2000-foot width.
This morning, I found 6-10 inches of recent, dry surface snow on north and south aspects at mid-elevations.
Warming temperatures and intense solar radiation moistened the surface on slopes receiving sun. However, I only noticed a few rollerballs and pinwheels upon my exit at 1400. 
No new avalanches were noted in this drainage since my last visit on March 2.",None Reported,Today's sun and warming temperatures initiated a few rollerballs and pinwheels by my exit at 1400.,48.402214,-114.13365,,,,,
48,Cilly Ridge,Swan Range,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,Not Observed,Not Observed,Moderate Amounts,None,Light SW winds.  Lenticular clouds formed over the Missions during the afternoon.,"Mar 7, 2024 (9:30) - Mar 7, 2024 (16:30)","Mar 7, 2024",Rob Millspaugh,forecaster,"Beautiful day and great riding in the Swan Range:

It appears the southern end of the advisory area was far less impacted by last week's impressive winds
We found minimal signs of recent wind affect along an exposed ridge
Snow pits revealed several weak layers in the top 1-2 feet 
These layers produced mixed results in stability tests
Middle- and upper-elevation solar aspects stayed dry well into the afternoon
Lower-elevation surface snow transitioned to moist throughout the day, but no new roller ball activity
No obvious signs of instability

Despite generally benign-looking conditions, we were still unwilling to trust buried weak layers.  We avoided steep and rocky slopes that were shaded from the sun.",None Reported,No obvious signs of instability,48.402214,-114.13365,Traveled on nearly all aspects and elevations,,,,
49,Southern Whitefish Range,Whitefish Range,The Mtn Riding Lab,Snowmobiling/Snowbiking,,,,,,,,"Mar 7, 2024","Mar 7, 2024",,professional,Great riding conditions in the sun. Almost got bit by the lingering persistent weak layer and set of a wind slab on an easterly slope that stepped down to the full deeper slab. No one in the group was caught or injured but are all thankful it wasn’t a different outcome. Careful out there folks!,Avalanches Observed  Avalanches Triggered,,48.402214,-114.13365,,,,,
50,JFS Canyon - Snowslip Mtn,Flathead Range & Glacier NP,BNSF Avalanche Safety,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,0,Not Observed,Small Amounts,Previous,"•	Mostly clear with plenty of sunshine.•	Light winds from the SW with occasional moderate to strong gusts.•	Wind loading today was minimal in this area.•	Daytime high temperatures reached the mid-teens °F at 7000’, the low-20s °F around 6000’, and the mid-30s °F on the Canyon floor.","Mar 7, 2024","Mar 7, 2024",Adam Clark,professional,"•	No recent avalanches observed.•	No avalanches occurred in Shed 9 during last week’s cycle.•	The crowns from the previously reported events in Shed 7, Path 1163, and the north face of Devils Hump were still partially visible.•	Wind slabs were widespread above 5500’ but mostly unreactive to ski cuts. A few cuts produced 1-2’ fractures.•	A new surface sun crust was beginning to form below 6000’ on previously sun-exposed slopes by late afternoon as these passed into the shade (easterly aspects).•	Dug a snow pit in the upper reaches of Shed 9 at 6740’ elevation, SE aspect, 27° slope.o	Total snow depth here was 51” with a poor structure snowpack, and unstable results in two stability tests.o	ECTP x2 with moderate force on a layer of facets on top of the Feb. 6th crust (see pit profile).•	Repeated an Extended Column Test in Shed 7 West at the same location as last Thursday (Feb. 29th).o	Snow depth here was 71” with the Feb. 3rd crust now buried about 3 feet down. Structure was like that in Shed 9 with multiple facet/crust combo layers beginning about 20” down.o	A few ECTNs in the upper 20”, but no fractures on the facet/crust combo layers deeper in the snowpack.",Cracking Observed (isolated),Minimal obvious signs. Just some minor cracking in the recent wind slabs,48.402214,-114.13365,"•	Ski tour up the Shed 6/7 ridge, continued up above Shed 7 W, over Pt. 6876’ and on to the Snowslip weather station and the uppermost reaches of Shed 9. Descended the skin track to Shed 5, then down this path.",,,,
